trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'e': 0.17956282684956196, 'a': 0.5}",30,16,28.09432263066063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.1759715703125707, 'a': 0.5}",20,13,16.809526578857202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.1724521389063193, 'a': 0.5}",30,10,31.588439352829838,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.16900309612819292, 'a': 0.5}",30,14,17.14785806714923,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'e': 0.16562303420562907, 'a': 0.5}",20,14,8.990056661381,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'e': 0.16231057352151648, 'a': 0.5}",20,9,16.096593233648296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'e': 0.15906436205108615, 'a': 0.5}",20,10,6.294255163118125,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'e': 0.15588307481006441, 'a': 0.5}",20,0,38.03846693336655,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.15276541331386312, 'a': 0.5}",25,8,-27.858630835267995,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'e': 0.14971010504758586, 'a': 0.5}",20,9,-3.6147102053779276,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'e': 0.14671590294663414, 'a': 0.5}",25,15,15.306855133618928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.14378158488770146, 'a': 0.5}",25,0,7.7402205074012596,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
97,False,"{'e': 0.14090595318994742, 'a': 0.5}",20,11,-23.91641884625833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'e': 0.13808783412614847, 'a': 0.5}",25,11,13.007000056072519,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'e': 0.13532607744362551, 'a': 0.5}",30,15,1.161224424192443,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'e': 0.132619555894753, 'a': 0.5}",20,14,12.392827869471743,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.12996716477685794, 'a': 0.5}",20,10,20.897987835098878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'e': 0.12736782148132078, 'a': 0.5}",20,14,11.579296623518838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'e': 0.12482046505169436, 'a': 0.5}",25,13,20.98801819872552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.12232405575066048, 'a': 0.5}",30,8,-30.714816999496215,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'e': 0.11987757463564727, 'a': 0.5}",30,17,25.630285689485046,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'e': 0.11748002314293432, 'a': 0.5}",30,13,19.21993859491527,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'e': 0.11513042268007563, 'a': 0.5}",25,0,13.235267365956219,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'e': 0.11282781422647412, 'a': 0.5}",30,12,-24.559695506980475,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'e': 0.11057125794194463, 'a': 0.5}",20,13,12.404991534384616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.10835983278310574, 'a': 0.5}",25,18,14.192966728622185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.10619263612744362, 'a': 0.5}",30,16,27.393172763804838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.10406878340489474, 'a': 0.5}",20,13,10.836287305749025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.10198740773679685, 'a': 0.5}",25,20,7.897176555604152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'e': 0.09994765958206091, 'a': 0.5}",25,12,25.303943819446655,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
